DATE,GBPUSD
23/06/11,1.5977
24/06/11,1.5985
27/06/11,1.5972
28/06/11,1.6016
29/06/11,1.607
30/06/11,1.6067
01/07/11,1.607
04/07/11,.
05/07/11,1.6085
06/07/11,1.5998
07/07/11,1.5967
08/07/11,1.603
11/07/11,1.5932
12/07/11,1.594
13/07/11,1.6111
14/07/11,1.6125
15/07/11,1.6149
18/07/11,1.6024
19/07/11,1.6135
20/07/11,1.6139
21/07/11,1.6301
22/07/11,1.6319
25/07/11,1.6285
26/07/11,1.6392
27/07/11,1.6357
28/07/11,1.6338
29/07/11,1.6455
01/08/11,1.6278
02/08/11,1.6287
03/08/11,1.6406
04/08/11,1.6308
05/08/11,1.6362
08/08/11,1.6354
09/08/11,1.6194
10/08/11,1.6169
11/08/11,1.6228
12/08/11,1.6284
15/08/11,1.6387
16/08/11,1.6424
17/08/11,1.6591
18/08/11,1.6489
19/08/11,1.6544
22/08/11,1.6452
23/08/11,1.6509
24/08/11,1.6375
25/08/11,1.6289
26/08/11,1.6321
29/08/11,1.6398
30/08/11,1.6279
31/08/11,1.6269
01/09/11,1.6179
02/09/11,1.619
05/09/11,.
06/09/11,1.5954
07/09/11,1.5948
08/09/11,1.6021
09/09/11,1.587
12/09/11,1.5814
13/09/11,1.5805
14/09/11,1.5773
15/09/11,1.5808
16/09/11,1.5802
19/09/11,1.5674
20/09/11,1.5718
21/09/11,1.5619
22/09/11,1.5358
23/09/11,1.5475
26/09/11,1.5553
27/09/11,1.5681
28/09/11,1.5648
29/09/11,1.5685
30/09/11,1.5624
03/10/11,1.5474
04/10/11,1.5403
05/10/11,1.5436
06/10/11,1.5398
07/10/11,1.5628
10/10/11,.
11/10/11,1.5594
12/10/11,1.5757
13/10/11,1.5729
14/10/11,1.5808
17/10/11,1.5778
18/10/11,1.5654
19/10/11,1.5799
20/10/11,1.5726
21/10/11,1.5945
24/10/11,1.5986
25/10/11,1.5994
26/10/11,1.5905
27/10/11,1.6081
28/10/11,1.613
31/10/11,1.6141
01/11/11,1.5946
02/11/11,1.5974
03/11/11,1.5959
04/11/11,1.6026
07/11/11,1.6024
08/11/11,1.6076
09/11/11,1.5958
10/11/11,1.5935
11/11/11,.
14/11/11,1.5899
15/11/11,1.5818
16/11/11,1.577
17/11/11,1.5801
18/11/11,1.5783
21/11/11,1.5662
22/11/11,1.5646
23/11/11,1.5511
24/11/11,.
25/11/11,1.5467
28/11/11,1.5538
29/11/11,1.5625
30/11/11,1.5705
01/12/11,1.5698
02/12/11,1.5592
05/12/11,1.5689
06/12/11,1.558
07/12/11,1.5691
08/12/11,1.5635
09/12/11,1.5642
12/12/11,1.5597
13/12/11,1.5528
14/12/11,1.5445
15/12/11,1.5486
16/12/11,1.5514
19/12/11,1.5531
20/12/11,1.5674
21/12/11,1.568
22/12/11,1.5667
23/12/11,1.5615
26/12/11,.
27/12/11,1.5671
28/12/11,1.5478
29/12/11,1.5386
30/12/11,1.5537
02/01/12,.
03/01/12,1.5655
04/01/12,1.5638
05/01/12,1.548
06/01/12,1.5431
09/01/12,1.5436
10/01/12,1.5489
11/01/12,1.5325
12/01/12,1.5325
13/01/12,1.5301
16/01/12,.
17/01/12,1.5356
18/01/12,1.541
19/01/12,1.5484
20/01/12,1.554
23/01/12,1.5582
24/01/12,1.5595
25/01/12,1.557
26/01/12,1.5706
27/01/12,1.5716
30/01/12,1.569
31/01/12,1.5754
01/02/12,1.5849
02/02/12,1.5813
03/02/12,1.5779
06/02/12,1.5832
07/02/12,1.5891
08/02/12,1.582
09/02/12,1.5838
10/02/12,1.5748
13/02/12,1.578
14/02/12,1.5691
15/02/12,1.571
16/02/12,1.5795
17/02/12,1.5813
20/02/12,.
21/02/12,1.5796
22/02/12,1.5677
23/02/12,1.57
24/02/12,1.5869
27/02/12,1.5845
28/02/12,1.5887
29/02/12,1.5951
01/03/12,1.5953
02/03/12,1.5852
05/03/12,1.587
06/03/12,1.572
07/03/12,1.5746
08/03/12,1.5822
09/03/12,1.5677
12/03/12,1.5615
13/03/12,1.5736
14/03/12,1.5686
15/03/12,1.5669
16/03/12,1.5845
19/03/12,1.5894
20/03/12,1.5857
21/03/12,1.5848
22/03/12,1.5807
23/03/12,1.5864
26/03/12,1.5939
27/03/12,1.5972
28/03/12,1.5855
29/03/12,1.5911
30/03/12,1.5985
02/04/12,1.6022
03/04/12,1.5966
04/04/12,1.5879
05/04/12,1.5822
06/04/12,1.5877
09/04/12,1.5879
10/04/12,1.5836
11/04/12,1.5892
12/04/12,1.5939
13/04/12,1.5851
16/04/12,1.5865
17/04/12,1.5931
18/04/12,1.602
19/04/12,1.6058
20/04/12,1.6123
23/04/12,1.6102
24/04/12,1.6135
25/04/12,1.6146
26/04/12,1.6188
27/04/12,1.6239
30/04/12,1.6225
01/05/12,1.6221
02/05/12,1.6193
03/05/12,1.6185
04/05/12,1.6148
07/05/12,1.6192
08/05/12,1.6159
09/05/12,1.613
10/05/12,1.6161
11/05/12,1.608
14/05/12,1.6116
15/05/12,1.6025
16/05/12,1.5933
17/05/12,1.5823
18/05/12,1.5788
21/05/12,1.579
22/05/12,1.5775
23/05/12,1.5691
24/05/12,1.5698
25/05/12,1.5648
28/05/12,.
29/05/12,1.563
30/05/12,1.5532
31/05/12,1.5405
01/06/12,1.5383
04/06/12,1.5382
05/06/12,1.5355
06/06/12,1.5475
07/06/12,1.5557
08/06/12,1.5433
11/06/12,1.5515
12/06/12,1.5562
13/06/12,1.5557
14/06/12,1.5533
15/06/12,1.5654
18/06/12,1.5665
19/06/12,1.5732
20/06/12,1.575
21/06/12,1.5633
22/06/12,1.5582
25/06/12,1.5555
26/06/12,1.562
27/06/12,1.5549
28/06/12,1.5503
29/06/12,1.5686
02/07/12,1.5679
03/07/12,1.5702
04/07/12,.
05/07/12,1.5531
06/07/12,1.548
09/07/12,1.5507
10/07/12,1.5506
11/07/12,1.5532
12/07/12,1.5425
13/07/12,1.555
16/07/12,1.5635
17/07/12,1.5613
18/07/12,1.5636
19/07/12,1.5719
20/07/12,1.563
23/07/12,1.5512
24/07/12,1.5521
25/07/12,1.5479
26/07/12,1.5683
